epoch,lr,supcon,ce,triplet,proto_rep,ClosedAcc,AUROC,AUPRC,Silhouette
1,0.000007,1.6454,2.0323,0.3540,0.2480,0.188,nan,nan,-0.159
2,0.000015,1.5364,1.8725,1.0787,0.0874,0.188,nan,nan,-0.162
3,0.000028,1.2934,1.6369,0.8819,0.0408,0.181,nan,nan,-0.186
4,0.000044,0.9714,1.3888,0.6233,0.0247,0.101,nan,nan,-0.038
5,0.000061,0.6501,1.1103,0.2492,0.0128,0.309,nan,nan,0.016
6,0.000076,0.4606,0.8768,0.2841,0.0159,0.255,nan,nan,0.067
7,0.000089,0.3498,0.6771,0.2134,0.0000,0.101,nan,nan,0.126
8,0.000097,0.2802,0.5588,0.2805,0.0198,0.174,nan,nan,0.210
9,0.000100,0.1597,0.4002,0.1481,0.0159,0.134,nan,nan,0.211
10,0.000099,0.1422,0.3467,0.1556,0.0238,0.168,nan,nan,0.258
11,0.000098,0.1798,0.3153,0.1186,0.0159,0.128,nan,nan,0.237
12,0.000095,0.1338,0.2496,0.0793,0.0198,0.242,nan,nan,0.248
13,0.000091,0.0731,0.1890,0.0843,0.0079,0.161,nan,nan,0.335
14,0.000086,0.0897,0.1679,0.0102,0.0119,0.161,nan,nan,0.385
15,0.000081,0.0659,0.1531,0.0308,0.0119,0.121,nan,nan,0.242
16,0.000075,0.0346,0.1412,0.0000,0.0198,0.295,nan,nan,0.335
17,0.000068,0.0593,0.1122,0.0133,0.0079,0.141,nan,nan,0.401
18,0.000061,0.0375,0.1012,0.0107,0.0119,0.195,nan,nan,0.388
19,0.000053,0.0146,0.0739,0.0039,0.0198,0.221,nan,nan,0.465
20,0.000046,0.0123,0.0616,0.0121,0.0198,0.235,nan,nan,0.416
21,0.000039,0.0102,0.0566,0.0297,0.0238,0.148,nan,nan,0.435
22,0.000031,0.0109,0.0510,0.0055,0.0159,0.215,nan,nan,0.517
23,0.000025,0.0085,0.0407,0.0014,0.0040,0.168,nan,nan,0.493
24,0.000019,0.0076,0.0460,0.0000,0.0198,0.161,nan,nan,0.483
25,0.000013,0.0064,0.0335,0.0022,0.0119,0.188,nan,nan,0.511
26,0.000009,0.0091,0.0410,0.0000,0.0278,0.134,nan,nan,0.521
27,0.000005,0.0042,0.0297,0.0000,0.0238,0.148,nan,nan,0.522
28,0.000002,0.0133,0.0349,0.0260,0.0198,0.148,nan,nan,0.521
29,0.000001,0.0033,0.0290,0.0000,0.0119,0.148,nan,nan,0.520
30,0.000000,0.0019,0.0268,0.0000,0.0079,0.148,nan,nan,0.521
